density,avg_speed,d_density,d_speed,neighbor_density,neighbor_speed,flow_variance,label
1,1.1844,1,0.0,0,1.1844,0.0,0
1,1.3688,1,0.0,1,1.3414,0.0,0
1,1.1086,0,0.0,2,1.2216,0.0,0
1,1.1086,0,-0.1461,1,1.0544,0.0,0
1,1.3414,1,0.0,1,1.0627,0.0,0
1,1.0627,-1,-0.1471,1,1.3414,0.0,0
1,1.3688,0,0.0275,1,1.176,0.0,0
1,1.1669,1,0.0,1,1.3888,0.0,0
1,1.3888,-1,0.1672,1,1.0544,0.0,0
1,1.0544,0,-0.0542,1,1.1086,0.0,0
1,1.176,0,-0.1928,1,1.3688,0.0,0
1,1.3569,1,0.0,1,1.0627,0.0,0
1,1.042,0,0.0,0,1.042,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.2547,1,0.0,1,1.1086,0.0,0
2,1.2216,1,0.1672,1,1.1086,0.0,0
2,1.2724,1,-0.0964,1,1.183,0.0,0
1,1.3414,0,0.0,2,1.2724,0.0,0
2,1.2098,1,-0.1471,0,1.2098,0.0,0
1,1.183,1,0.0,2,1.2724,0.0,0
1,1.1844,1,0.0,0,1.1844,0.0,0
1,1.1086,1,0.0,2,1.2216,0.0,0
1,1.2547,0,0.0,1,1.1086,0.0,0
1,1.042,1,0.0,0,1.042,0.0,0
1,1.1669,0,-0.2219,2,1.2216,0.0,0
1,1.1669,0,0.0,1,1.3888,0.0,0
1,1.2547,1,0.0,1,1.1086,0.0,0
1,1.3414,1,0.0,2,1.2098,0.0,0
1,1.0544,0,-0.0542,1,1.1086,0.0,0
1,1.1936,1,0.0,1,1.042,0.0,0
2,1.2098,0,0.0,1,1.3414,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
2,1.1795,0,-0.0929,1,1.3688,0.0013,0
1,1.3688,0,0.0275,2,1.1795,0.0,0
1,1.1086,0,-0.1461,1,1.0544,0.0,0
1,1.3888,-1,0.1672,1,1.0544,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
1,1.2547,0,0.0,1,1.1086,0.0,0
2,1.1795,0,0.0,1,1.3688,0.0003,0
1,1.0627,-1,-0.1471,1,1.3414,0.0,0
1,1.3888,1,0.0,1,1.0544,0.0,0
1,1.3569,1,0.0,1,1.0627,0.0,0
1,1.1936,0,0.0,0,1.1936,0.0,0
1,1.3414,0,0.0,1,1.0627,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.042,1,0.0,1,1.1669,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.3688,0,0.0,2,1.1795,0.0,0
1,1.1669,0,0.0,1,1.042,0.0,0
1,1.3888,0,0.0,1,1.0544,0.0,0
1,1.1669,1,0.0,1,1.0544,0.0,0
1,1.1936,1,0.0,1,1.042,0.0,0
1,1.2547,1,0.0,1,1.1844,0.0,0
2,1.1795,1,-0.1893,1,1.3688,0.0003,0
1,1.3414,0,0.2786,2,1.2098,0.0,0
2,1.2098,1,-0.1471,1,1.3414,0.0,0
1,1.006,1,0.0,0,1.006,0.0,0
1,1.0724,0,0.0,0,1.0724,0.0,0
1,1.1086,1,0.0,1,1.0544,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.3688,0,0.0275,2,1.1795,0.0,0
1,1.272,0,-0.0968,2,1.1795,0.0,0
1,1.0544,0,-0.0542,1,1.1086,0.0,0
2,1.1795,0,0.0,1,1.272,0.0001,0
1,1.1936,0,0.0,0,1.1936,0.0,0
1,1.1086,1,0.0,1,1.0544,0.0,0
2,1.004,1,-0.0019,0,1.004,0.0331,0
1,1.3888,1,0.0,1,1.0544,0.0,0
1,1.3414,0,0.0,1,1.0627,0.0,0
1,1.3569,1,0.0,1,1.0627,0.0,0
1,1.2547,0,0.0,1,1.1086,0.0,0
1,1.1669,0,0.1124,1,1.0544,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
1,1.1844,1,0.0,0,1.1844,0.0,0
1,1.0627,-1,-0.1471,1,1.3414,0.0,0
1,1.042,1,0.0,0,1.042,0.0,0
1,1.0021,1,0.0,2,1.197,0.0,0
1,1.1936,1,0.0,1,1.042,0.0,0
1,1.3569,0,0.0,2,1.202,0.0,0
2,1.1795,1,-0.0925,1,1.3688,0.0001,0
1,1.0724,0,0.0,0,1.0724,0.0,0
2,1.202,1,0.1393,1,1.3569,0.0,0
1,1.3888,0,0.0,1,1.0544,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
2,1.197,2,0.0,1,1.0021,0.0209,0
1,1.3688,0,0.0275,2,1.1795,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.2547,1,0.0,1,1.1844,0.0,0
1,1.1669,0,0.0,1,1.0544,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.3569,1,0.0,1,1.0627,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.3688,0,0.0,2,1.1795,0.0,0
1,1.0544,1,0.0,1,1.1086,0.0,0
1,1.1086,1,0.0,1,1.0544,0.0,0
1,1.0627,0,-0.2941,1,1.3414,0.0,0
1,1.3414,-1,0.1393,1,1.0627,0.0,0
1,1.1669,0,0.0,1,1.042,0.0,0
3,1.132,1,-0.0649,0,1.132,0.0037,0
1,1.042,1,0.0,1,1.1669,0.0,0
1,1.2022,1,0.0,1,1.0724,0.0,0
2,1.1795,0,0.0,1,1.3688,0.0,0
1,1.0724,0,0.0,1,1.2022,0.0,0
1,1.2547,1,0.0,1,1.1844,0.0,0
1,1.1936,0,0.0,0,1.1936,0.0,0
1,1.3888,0,0.2802,1,1.0544,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.2547,0,0.0,1,1.1844,0.0,0
1,1.2022,0,0.0,0,1.2022,0.0,0
2,1.202,1,0.1393,1,1.3569,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
4,1.0934,1,-0.0387,0,1.0934,0.008,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.3688,0,0.0275,2,1.202,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.3888,0,0.0,1,1.0544,0.0,0
1,1.1669,1,0.0,1,1.3888,0.0,0
1,1.3569,0,0.0,2,1.202,0.0,0
2,1.1795,0,0.0,0,1.1795,0.0,0
1,1.1936,1,0.0,1,1.042,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.0544,0,0.0,1,1.1669,0.0,0
1,1.1086,1,0.0,1,1.2547,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.3414,-1,0.1393,1,1.0627,0.0,0
2,1.1795,2,0.0,1,1.3688,0.0,0
2,1.1123,2,0.0,2,1.1208,0.0008,0
1,1.2547,0,0.0,1,1.1086,0.0,0
1,1.1669,1,0.0,1,1.0544,0.0,0
2,1.1208,-2,0.0274,2,1.1123,0.0021,0
1,1.2022,1,0.0,1,1.0724,0.0,0
1,1.0724,1,0.0,1,1.2022,0.0,0
1,1.3688,0,0.0,2,1.1795,0.0,0
1,1.0252,1,0.0,0,1.0252,0.0,0
1,1.0627,0,-0.2941,1,1.3414,0.0,0
1,1.3569,1,0.0,1,1.0627,0.0,0
1,1.1936,0,0.0,1,1.042,0.0,0
1,1.3888,1,0.0,1,1.1086,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.2547,1,0.0,1,1.1844,0.0,0
2,1.1795,0,0.0,0,1.1795,0.0,0
1,1.0544,1,0.0,2,1.1669,0.0,0
2,1.202,1,0.1393,1,1.3569,0.0,0
1,1.2176,-1,0.0968,3,1.052,0.0,0
2,1.2487,1,0.1401,1,1.0544,0.0096,0
2,1.1178,1,0.0758,0,1.1178,0.2373,0
1,1.3688,0,0.0275,2,1.202,0.0,0
1,1.1669,1,0.0,1,1.0544,0.0,0
3,1.052,1,-0.0604,1,1.2176,0.0002,0
1,1.3569,0,0.0,2,1.202,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
1,1.0957,1,0.0,1,1.2176,0.0,0
1,1.0252,1,0.0,1,1.2022,0.0,0
1,1.2022,0,0.0,1,1.0252,0.0,0
1,1.0544,0,0.0,2,1.1669,0.0,0
1,1.1844,1,0.0,0,1.1844,0.0,0
1,1.042,1,0.0,1,1.1936,0.0,0
2,1.1795,2,0.0,1,1.3688,0.0,0
1,1.0724,0,0.0,0,1.0724,0.0,0
3,1.0515,0,-0.0004,1,1.0957,0.0004,0
1,1.2547,0,0.0,0,1.2547,0.0,0
1,1.0957,0,-0.1219,3,1.0515,0.0,0
2,1.202,0,0.0,1,1.3688,0.0,0
1,1.3688,0,0.0,2,1.1795,0.0,0
1,1.2898,1,0.0,3,1.0515,0.0,0
1,1.1936,-1,0.0758,1,1.042,0.0,0
2,1.2487,0,0.0,1,1.0544,0.0008,0
1,1.0988,0,0.0031,1,1.0957,0.0,0
1,1.3569,1,0.0,0,1.3569,0.0,0
1,1.1669,1,0.0,1,1.0544,0.0,0
1,1.2022,0,0.0,1,1.0252,0.0,0
1,1.0252,0,0.0,1,1.2022,0.0,0
2,1.1123,1,-0.1775,2,1.1099,0.0,0
2,1.0972,1,0.0015,2,1.1099,0.0,0
2,1.2487,2,0.0,0,1.2487,0.0008,0
1,1.2547,1,0.0,1,1.1844,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
2,1.1795,0,0.0,1,1.272,0.0,0
1,1.3569,1,0.0,0,1.3569,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.272,0,-0.0968,2,1.1795,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
1,1.0544,1,0.0,1,1.1669,0.0,0
2,1.1099,-1,0.0584,2,1.0972,0.0001,0
1,1.1936,0,0.0,1,1.042,0.0,0
1,1.0252,0,-0.1771,1,1.2022,0.0,0
2,1.202,2,0.0,0,1.202,0.0,0
1,1.1669,0,0.1124,1,1.0544,0.0,0
1,1.2022,1,0.0,1,1.0252,0.0,0
2,1.202,2,0.0,1,1.3688,0.0,0
1,1.3888,-1,0.1401,1,1.1086,0.0,0
1,1.2547,0,0.0,1,1.1844,0.0,0
3,1.0928,1,-0.0045,0,1.0928,0.0124,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.388,1,0.0,3,1.0515,0.0,0
3,1.0515,1,-0.0608,1,1.388,0.0001,0
1,1.1936,1,0.0,0,1.1936,0.0,0
1,1.1086,1,0.0,1,1.0544,0.0,0
1,1.2022,1,0.0,1,1.0724,0.0,0
1,1.0252,0,0.0,0,1.0252,0.0,0
1,1.176,0,-0.096,1,1.183,0.0,0
1,1.1669,0,0.0,1,1.0544,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.042,1,0.0,0,1.042,0.0,0
1,1.3569,0,0.0,0,1.3569,0.0,0
1,1.0724,0,0.0,1,1.2022,0.0,0
1,1.3688,1,0.0,2,1.176,0.0,0
1,1.183,-1,0.0035,1,1.176,0.0,0
1,1.3569,1,0.0,0,1.3569,0.0,0
2,1.2487,2,0.0,1,1.0544,0.0471,0
2,1.2196,1,0.0351,0,1.2196,0.0428,0
1,1.0252,0,0.0,0,1.0252,0.0,0
2,1.1795,1,0.0035,1,1.272,0.0,0
3,1.0824,0,0.0309,1,1.0182,0.0,0
1,1.272,0,-0.0968,2,1.1795,0.0,0
1,1.388,0,0.0,3,1.0824,0.0,0
2,1.202,2,0.0,0,1.202,0.0,0
1,1.2554,1,0.0,2,1.0141,0.0,0
2,1.0141,-1,-0.0787,1,1.0182,0.002,0
1,1.0724,0,0.0,1,1.2022,0.0,0
1,1.0544,0,-0.0542,2,1.2487,0.0,0
1,1.2022,0,0.0,1,1.0724,0.0,0
1,1.1936,1,0.0,1,1.042,0.0,0
1,1.0182,1,0.0,3,1.0141,0.0,0
1,1.1669,0,0.0,0,1.1669,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
2,1.1185,0,0.1044,2,1.0196,0.0049,0
2,1.0196,1,0.0014,2,1.0021,0.0,0
1,1.2022,0,0.0,1,1.0252,0.0,0
1,1.0021,-2,-0.0803,2,1.0196,0.0,0
2,1.2487,0,0.0,1,1.0544,0.051,0
1,1.3414,1,0.0,1,1.0627,0.0,0
1,1.0544,0,0.0,2,1.1669,0.0,0
1,1.3688,1,0.0,1,1.0627,0.0,0
1,1.1669,1,0.0,1,1.0544,0.0,0
1,1.0496,1,0.0,2,1.1185,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
2,1.1795,0,0.0,1,1.388,0.0,0
1,1.388,1,0.0,2,1.1581,0.0,0
2,1.1581,1,-0.2299,1,1.0021,0.0,0
1,1.0627,-1,-0.1393,1,1.3414,0.0,0
1,1.1936,0,0.0,1,1.042,0.0,0
1,1.3569,0,0.0,0,1.3569,0.0,0
1,1.0252,1,0.0,1,1.2022,0.0,0
1,1.2547,-1,0.0351,1,1.1844,0.0,0
2,1.1107,1,0.0562,0,1.1107,0.0011,0
1,1.3569,1,0.0,0,1.3569,0.0,0
1,1.0724,0,0.0,1,1.2022,0.0,0
1,1.1086,1,0.0,1,1.3888,0.0,0
1,1.1844,0,0.0,1,1.2547,0.0,0
3,1.1061,1,-0.052,1,1.388,0.0,0
1,1.1936,0,0.1516,1,1.042,0.0,0
1,1.0627,0,-0.2786,1,1.3414,0.0,0
2,1.1525,0,0.034,3,1.0069,0.0002,0
1,1.2547,1,0.0,1,1.1844,0.0,0
3,1.0069,1,-0.0127,2,1.1525,0.0002,0
1,1.2022,1,0.0,1,1.0724,0.0,0
1,1.3688,0,0.3061,1,1.0627,0.0,0
1,1.388,0,0.0,3,1.1061,0.0,0
1,1.0252,0,0.0,0,1.0252,0.0,0
1,1.3414,1,0.0,1,1.0627,0.0,0
1,1.0245,1,0.0,0,1.0245,0.0,0
1,1.042,1,0.0,1,1.1936,0.0,0
2,1.1795,2,0.0,0,1.1795,0.0,0
1,1.3888,1,0.0,1,1.1086,0.0,0
1,1.0496,-1,-0.1029,2,1.0741,0.0,0
1,1.0544,1,0.0,1,1.1086,0.0,0
2,1.0741,-1,0.0672,2,1.0196,0.0009,0
2,1.1795,0,0.0,1,1.388,0.0,0
1,1.0724,1,0.0,0,1.0724,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.388,1,0.0,2,1.1795,0.0,0
1,1.2547,0,0.0,1,1.1844,0.0,0
1,1.3888,0,0.0,1,1.1086,0.0,0
1,1.2022,0,0.0,0,1.2022,0.0,0
2,1.1178,1,0.0758,0,1.1178,0.0612,0
3,1.1061,0,0.0,2,1.0196,0.0,0
2,1.0196,2,0.0,3,1.0741,0.0,0
1,1.0252,0,0.0,0,1.0252,0.0,0
1,1.3688,0,0.0,2,1.202,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.3569,0,0.0,0,1.3569,0.0,0
2,1.202,1,-0.1393,1,1.3688,0.0,0
1,1.1669,-1,0.0562,1,1.0544,0.0,0
2,1.1385,1,0.114,0,1.1385,0.009,0
1,1.3507,1,0.0,1,1.0496,0.0,0
1,1.3569,0,0.0,1,1.3414,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.0245,1,0.0,1,1.2525,0.0,0
2,1.1795,2,0.0,0,1.1795,0.0,0
2,1.2158,0,0.0137,1,1.3414,0.0,0
1,1.1669,0,0.0,1,1.0544,0.0,0
1,1.3414,1,0.0,2,1.2158,0.0,0
1,1.1936,-1,0.0758,1,1.042,0.0,0
1,1.3888,1,0.0,1,1.1086,0.0,0
1,1.0252,1,0.0,0,1.0252,0.0,0
1,1.0724,0,0.0,1,1.2022,0.0,0
2,1.2196,1,0.0351,0,1.2196,0.0017,0
3,1.1061,3,0.0,1,1.388,0.0,0
2,1.0593,0,-0.0148,2,1.0196,0.0001,0
2,1.0196,0,0.0,2,1.0593,0.0,0
1,1.0496,0,0.0,2,1.0593,0.0,0
1,1.388,0,0.0,3,1.1061,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.2022,1,0.0,1,1.0724,0.0,0
1,1.2525,-1,0.114,1,1.0245,0.0,0
1,1.042,1,0.0,1,1.1936,0.0,0
2,1.2196,0,0.0,0,1.2196,0.0017,0
1,1.3569,1,0.0,0,1.3569,0.0,0
2,1.2487,1,-0.1401,1,1.0544,0.0546,0
1,1.0724,0,0.0,1,1.2022,0.0,0
3,1.1061,0,0.0,0,1.1061,0.0,0
4,1.069,2,0.0494,1,1.0496,0.0001,0
1,1.2022,0,0.0,1,1.0724,0.0,0
1,1.0496,-1,-0.0097,4,1.069,0.0,0
2,1.1795,2,0.0,1,1.388,0.0,0
2,1.1385,2,0.0,0,1.1385,0.0002,0
1,1.0544,0,-0.0542,2,1.1669,0.0,0
2,1.202,1,-0.1393,1,1.3688,0.0,0
1,1.3688,-1,0.153,2,1.202,0.0,0
1,1.3507,0,0.3011,1,1.0496,0.0,0
1,1.1669,1,0.0,1,1.0544,0.0,0
2,1.1178,1,0.0758,0,1.1178,0.0042,0
1,1.0252,0,0.0,0,1.0252,0.0,0
1,1.388,1,0.0,2,1.1795,0.0,0
2,1.0196,2,0.0,2,1.004,0.0,0
1,1.1086,-1,-0.1401,1,1.0544,0.0,0
2,1.1795,2,0.0,0,1.1795,0.0,0
1,0.9754,0,-0.0742,2,1.0869,0.0,0
2,1.1385,2,0.0,0,1.1385,0.0,0
1,1.3569,0,0.0,1,1.3414,0.0,0
2,1.1178,0,0.0,0,1.1178,0.0002,0
2,1.2196,2,0.0,0,1.2196,0.0018,0
1,1.3888,1,0.0,1,1.1086,0.0,0
2,1.2158,0,0.0137,1,1.3414,0.0,0
2,1.004,-1,-0.1021,2,1.0196,0.0,0
2,1.0869,-2,0.0179,2,0.9754,0.0,0
1,1.0544,0,0.0,1,1.1086,0.0,0
1,1.0252,1,0.0,0,1.0252,0.0,0
1,1.1669,0,0.0,1,1.0544,0.0,0
1,1.388,0,0.0,1,1.3103,0.0,0
1,1.3507,0,0.0,1,0.9754,0.0,0
1,1.3103,1,0.0,2,1.004,0.0,0
1,1.3414,1,0.0,2,1.2158,0.0,0
1,1.2022,0,0.1299,1,1.0724,0.0,0
1,1.0724,1,0.0,1,1.2022,0.0,0
2,1.0196,0,0.0,3,1.0497,0.0,0
2,1.1795,0,0.0,1,1.388,0.0,0
1,1.2022,0,0.0,1,1.0724,0.0,0
1,1.3507,0,0.3754,3,1.0497,0.0,0
3,1.1061,2,-0.2042,0,1.1061,0.0,0
2,1.1107,1,0.0562,0,1.1107,0.0035,0
1,1.3888,1,0.0,1,1.1086,0.0,0
3,1.0497,1,-0.0372,2,1.0196,0.0,0
1,1.0252,0,0.0,0,1.0252,0.0,0
2,1.2158,0,0.0,1,1.3414,0.0,0
1,1.388,1,0.0,2,1.1795,0.0,0
2,1.1385,0,0.0,0,1.1385,0.0,0
1,1.1086,1,0.0,1,1.3888,0.0,0
1,1.2547,-1,0.0351,1,1.1844,0.0,0
1,1.0724,0,0.0,1,1.2022,0.0,0
2,1.1178,2,0.0,0,1.1178,0.0002,0
1,1.3569,1,0.0,0,1.3569,0.0,0
1,1.3414,0,0.0,2,1.2158,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
1,1.3507,0,0.0,1,1.0496,0.0,0
2,1.004,-1,-0.1021,1,1.0182,0.0,0
1,1.3414,1,0.0,2,1.2158,0.0,0
1,1.2942,1,0.0,0,1.2942,0.0,0
2,1.1795,2,0.0,0,1.1795,0.0,0
1,1.0724,1,0.0,1,1.2022,0.0,0
2,1.2158,1,-0.1256,1,1.3414,0.0,0
1,1.1669,-1,0.0562,1,1.0544,0.0,0
2,1.1178,0,0.0,0,1.1178,0.0315,0
1,1.0544,1,0.0,1,1.1086,0.0,0
2,1.1385,0,0.0,0,1.1385,0.0,0
3,1.0564,1,0.0368,1,1.0182,0.0,0
1,1.0182,1,0.0,3,1.004,0.0,0
2,1.2196,1,0.0351,0,1.2196,0.0001,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.3103,1,0.0,2,1.004,0.0,0
1,1.388,1,0.0,1,1.3103,0.0,0
1,1.0496,-2,-0.0001,3,1.0564,0.0,0
1,1.3569,0,0.0,1,1.3414,0.0,0
1,1.0252,1,0.0,0,1.0252,0.0,0
1,1.2022,1,0.0,1,1.0724,0.0,0
1,1.3888,0,0.0,1,1.1086,0.0,0
1,1.042,1,0.0,1,1.1936,0.0,0
1,1.0724,0,0.0,1,1.2022,0.0,0
1,1.3414,0,0.0,2,1.2158,0.0,0
1,1.3569,1,0.0,0,1.3569,0.0,0
2,1.163,1,0.1134,2,1.0593,0.0,0
2,1.1385,2,0.0,0,1.1385,0.0,0
1,1.2022,0,0.0,1,1.0724,0.0,0
2,1.2158,0,0.0,1,1.3414,0.0,0
1,1.3888,1,0.0,1,1.1086,0.0,0
1,1.2942,1,0.0,0,1.2942,0.0,0
2,1.1581,1,-0.1522,1,1.0021,0.0,0
1,1.1844,1,0.0,1,1.2547,0.0,0
2,1.1795,0,0.0,1,1.388,0.0,0
1,1.388,1,0.0,2,1.1795,0.0,0
2,1.0593,-1,0.0029,2,1.0196,0.0,0
2,1.0196,1,0.0014,2,1.0021,0.0,0
1,1.1086,0,-0.2802,1,1.3888,0.0,0
2,1.1107,1,0.0562,0,1.1107,0.0002,0
1,1.1936,-1,0.0758,1,1.042,0.0,0
1,1.0021,-1,-0.0019,2,1.0196,0.0,0
1,1.0727,1,0.0,0,1.0727,0.0,0
1,1.2547,-1,0.0351,1,1.1844,0.0,0
1,1.0252,0,0.0,0,1.0252,0.0,0
2,0.9913,0,-0.068,3,1.0587,0.0,0
1,1.0252,0,0.0,0,1.0252,0.0,0
1,1.1086,0,0.0,1,1.0544,0.0,0
1,1.1936,1,0.0,1,1.042,0.0,0
1,1.2525,1,0.0,1,1.0245,0.0,0
2,1.004,0,-0.1541,1,1.3103,0.0,0
1,1.042,0,0.0,1,1.1936,0.0,0
1,1.3888,0,0.0,1,1.1086,0.0,0
3,1.0587,1,0.0391,2,0.9913,0.0,0
1,1.3414,1,0.0,2,1.2158,0.0,0
2,1.2158,1,-0.1256,1,1.3414,0.0,0
1,1.3103,1,0.0,2,1.004,0.0,0
1,1.2022,0,0.1299,1,1.0724,0.0,0
1,1.0544,1,0.0,1,1.1086,0.0,0
2,1.2196,1,0.0351,0,1.2196,0.0,0
1,1.3569,0,0.0,1,1.3414,0.0,0
1,1.2942,0,0.0,1,1.0573,0.0,0
1,1.3507,-1,0.1877,2,0.9913,0.0,0
1,1.1669,-1,0.0562,1,1.0544,0.0,0
2,1.1795,2,0.0,0,1.1795,0.0,0
1,1.0245,-1,-0.114,1,1.2525,0.0,0
1,1.0727,0,0.0,0,1.0727,0.0,0
1,1.388,1,0.0,0,1.388,0.0,0
1,1.0573,1,0.0,1,1.2942,0.0,0
1,1.0724,1,0.0,1,1.2022,0.0,0
1,1.3888,1,0.0,2,1.2196,0.0,0
1,1.2942,0,0.0,1,1.0573,0.0,0
1,1.0884,0,0.0157,1,1.0727,0.0,0
1,1.388,1,0.0,2,1.1795,0.0,0
2,1.2002,0,0.2089,3,1.0465,0.0,0
1,1.1936,0,0.0,1,1.042,0.0,0
1,1.0182,1,0.0,3,0.9686,0.0,0
3,1.0465,0,-0.0122,2,1.0182,0.0,0
2,1.1795,0,0.0,1,1.388,0.0,0
1,1.0727,1,0.0,1,1.0884,0.0,0
2,1.1107,1,0.0562,1,1.1086,0.0004,0
2,0.9686,0,-0.0354,1,1.0182,0.0,0
1,1.3103,1,0.0,2,0.9686,0.0,0
2,1.2158,0,0.0,1,1.3414,0.0,0
2,1.1385,1,-0.114,0,1.1385,0.0,0
1,1.0252,1,0.0,0,1.0252,0.0,0
1,1.2022,0,0.0,1,1.0724,0.0,0
2,1.2196,0,0.0,1,1.3888,0.0004,0
1,1.3569,1,0.0,0,1.3569,0.0,0
1,1.1086,0,0.0,2,1.1107,0.0,0
1,1.0573,0,0.0,1,1.2942,0.0,0
